Date,BAJAJ-AUTO.NS,BAJAJFINSV.NS,DIVISLAB.NS,HINDUNILVR.NS,ITC.NS,NTPC.NS,RELIANCE.NS,TATASTEEL.NS,BENCHMARK
2013-09-27,1563.8856201171875,61.01301956176758,453.2048645019531,527.3588256835938,179.0233612060547,81.18556213378906,391.82659912109375,10.16443157196045,5833.2001953125
2013-09-30,1559.4132080078125,60.1781120300293,446.6003112792969,532.8361206054688,175.16403198242188,80.91119384765625,383.66253662109375,9.603867530822754,5735.2998046875
2013-10-01,1584.952880859375,59.77059555053711,456.9559020996094,525.8302612304688,176.50192260742188,78.93574523925781,383.2193298339844,9.75240421295166,5780.0498046875
2013-10-03,1662.945068359375,59.3680419921875,466.5059509277344,517.7200927734375,174.31492614746094,78.96318817138672,395.115478515625,10.109612464904785,5909.7001953125
2013-10-04,1661.76806640625,59.53701400756836,470.5331726074219,515.2575073242188,174.8809814453125,78.24983215332031,398.591064453125,10.201565742492676,5907.2998046875
2013-10-07,1669.92822265625,62.37968444824219,482.8907165527344,518.95166015625,174.98385620117188,78.05777740478516,393.76263427734375,10.624200820922852,5906.14990234375
2013-10-08,1660.316650390625,62.90150451660156,487.1941223144531,517.7200927734375,178.8947296142578,79.2101058959961,394.1824645996094,10.496878623962402,5928.39990234375
2013-10-09,1690.0146484375,63.71156692504883,482.06231689453125,518.1873779296875,179.35784912109375,79.64910888671875,401.6234130859375,10.724995613098145,6007.4501953125
2013-10-10,1680.20703125,64.13398742675781,481.8092041015625,510.671875,178.637451171875,81.15811920166016,401.2035217285156,10.914207458496094,6020.9501953125
2013-10-11,1679.9718017578125,63.62708282470703,475.9410400390625,512.8373413085938,176.09027099609375,79.04548645019531,402.766357421875,10.88945198059082,6096.2001953125
2013-10-14,1677.421630859375,63.7811393737793,471.68377685546875,506.4682922363281,174.8552703857422,78.82601165771484,406.0086364746094,10.66663932800293,6112.7001953125
2013-10-15,1667.8487548828125,65.19253540039062,474.9515380859375,511.8182678222656,174.9581756591797,79.62167358398438,404.84234619140625,10.981405258178711,6089.0498046875
2013-10-17,1689.544189453125,62.94623565673828,464.2738037109375,513.771484375,177.78836059570312,78.77113342285156,410.6971130371094,10.967257499694824,6045.85009765625
2013-10-18,1689.3477783203125,64.89435577392578,474.2151184082031,514.70556640625,182.4453582763672,80.03321838378906,422.5,11.63215446472168,6189.35009765625
2013-10-21,1687.5040283203125,63.92526626586914,474.7213439941406,517.1683349609375,177.37672424316406,81.02095031738281,426.02215576171875,11.886795043945312,6204.9501953125
2013-10-22,1678.8729248046875,64.15884399414062,475.80303955078125,517.1257934570312,175.75576782226562,81.62456512451172,421.82354736328125,12.022958755493164,6202.7998046875
2013-10-23,1643.721435546875,63.96004867553711,468.692138671875,521.9663696289062,175.78150939941406,79.75885772705078,418.3479919433594,11.854965209960938,6178.35009765625
2013-10-24,1633.835205078125,64.32781982421875,456.19647216796875,517.5929565429688,176.37327575683594,78.63394927978516,412.6331787109375,11.74709701538086,6164.35009765625
2013-10-25,1632.5015869140625,63.3189582824707,448.6714172363281,504.3875732421875,174.98385620117188,79.67654418945312,413.7994079589844,11.382817268371582,6144.89990234375
2013-10-28,1624.6551513671875,62.70768356323242,444.8743896484375,500.3963928222656,168.75743103027344,79.04548645019531,415.5488586425781,11.045064926147461,6101.10009765625
2013-10-29,1643.054931640625,62.1958122253418,456.1734619140625,513.47412109375,168.73175048828125,80.14297485351562,418.3713073730469,11.524286270141602,6220.89990234375
2013-10-30,1676.51904296875,62.399566650390625,447.77398681640625,521.1170654296875,171.4075469970703,80.80146789550781,419.00103759765625,11.550809860229492,6251.7001953125
2013-10-31,1671.18359375,63.4233283996582,447.5898742675781,522.5736694335938,172.38526916503906,81.81661987304688,426.7218933105469,11.844355583190918,6299.14990234375
2013-11-01,1667.260498046875,64.50672149658203,449.89105224609375,521.7595825195312,168.8089141845703,80.25271606445312,423.7129211425781,11.888564109802246,6307.2001953125
2013-11-05,1641.4462890625,66.19144439697266,452.9977111816406,510.6629943847656,164.1519317626953,80.80146789550781,424.3893737792969,11.987589836120605,6253.14990234375
2013-11-06,1629.284423828125,66.43000030517578,473.8929748535156,503.9364318847656,163.99752807617188,83.73719787597656,419.2110900878906,11.787768363952637,6215.14990234375
2013-11-07,1648.625732421875,66.43496704101562,460.33868408203125,505.5216064453125,164.8980712890625,83.79207611083984,413.28631591796875,12.229853630065918,6187.25
2013-11-08,1620.96728515625,66.69835662841797,469.63568115234375,501.4085693359375,164.43495178222656,83.70974731445312,408.6444396972656,12.581753730773926,6140.75
2013-11-11,1598.95849609375,66.60890197753906,506.8697204589844,492.75396728515625,162.94265747070312,82.47510528564453,403.0229187011719,12.760356903076172,6078.7998046875
2013-11-12,1589.7784423828125,67.10586547851562,523.94482421875,492.23980712890625,164.6150665283203,81.84404754638672,397.7513122558594,12.465043067932129,6018.0498046875
2013-11-13,1585.9727783203125,66.83750915527344,524.427978515625,499.3520812988281,161.65623474121094,82.0361099243164,393.9259033203125,12.652485847473145,5989.60009765625
2013-11-14,1596.5653076171875,68.47750854492188,528.501220703125,497.2098693847656,161.81060791015625,83.8469467163086,397.3081359863281,13.274944305419922,6056.14990234375
2013-11-18,1592.83837890625,69.00926971435547,531.7000732421875,511.2628479003906,167.80545043945312,85.63032531738281,408.08465576171875,13.679895401000977,6189.0
2013-11-19,1580.0882568359375,70.35604858398438,524.3819580078125,507.4924621582031,166.46754455566406,85.08158111572266,409.76409912109375,13.554342269897461,6203.35009765625
2013-11-20,1549.2127685546875,69.69010925292969,524.2208862304688,498.2808532714844,165.05245971679688,84.86209869384766,402.36981201171875,13.616233825683594,6122.89990234375
2013-11-21,1516.572265625,68.25884246826172,521.2753295898438,492.02569580078125,161.03871154785156,82.42023468017578,395.4187927246094,13.531353950500488,5999.0498046875
2013-11-22,1482.4407958984375,69.67521667480469,519.8255615234375,489.7977294921875,158.8517303466797,82.77689361572266,393.62261962890625,13.879717826843262,5995.4501953125
